c_last_name,c_first_name,ca_city,bought_city,ss_ticket_number,amt,profit
null,null,Antioch,Blair,375099,2513.51,-10720.96
null,null,Ashland,Liberty,436721,1740.90,-17453.87
null,null,Bethel,Harmony,171528,602.05,-1032.30
null,null,Brownsville,Sunnyside,263574,0.00,-13272.64
null,null,Brownsville,Walnut Grove,35184,1498.79,-15914.88
null,null,Bunker Hill,Maple Hill,95185,0.00,-1603.28
null,null,Calhoun,Enterprise,404017,0.00,-2959.09
null,null,Campbell,Greenville,208078,2660.07,-10031.71
null,null,Cedar Grove,Waterloo,29840,865.26,-2314.47
null,null,Enterprise,Hamilton,360314,2272.53,-20527.25
null,null,Forest Hills,Oak Ridge,470194,710.43,-18900.23
null,null,Forest Hills,Oneida,148829,887.93,-5278.63
null,null,Forestville,Belmont,344859,0.00,124.57
null,null,Franklin,Centerville,309602,157.50,-7126.41
null,null,Franklin,Spring Hill,207626,5204.65,-5326.57
null,null,Friendship,Midway,38494,2779.73,-18379.27
null,null,Georgetown,Manchester,157802,2039.29,-8635.27
null,null,Glendale,Franklin,466299,5188.22,-17032.12
null,null,Glendale,Page,223260,3853.08,-24812.74
null,null,Greenfield,Newport,443923,26.37,-3526.30
null,null,Greenville,Green Acres,286128,172.22,-4580.22
null,null,Hamilton,Brownsville,349084,1818.35,-6300.82
null,null,Highland,Midway,359621,4989.44,-7309.37
null,null,Lakeside,Superior,140023,4248.53,-17589.21
null,null,Lakewood,Oakdale,474091,5149.14,-4766.94
null,null,Lakewood,Riverdale,318615,763.71,-14338.48
null,null,Lincoln,Summerville,367149,1320.12,-15233.03
null,null,Macedonia,Providence,458084,3278.72,-12941.35
null,null,Marion,Five Points,332803,503.42,-5972.81
null,null,Mount Olive,Sulphur Springs,244282,1347.27,-16676.62
null,null,Mount Vernon,Plainview,434906,2723.99,-26082.50
null,null,Mount Vernon,Springdale,394092,985.07,-4855.71
null,null,Mountain View,Kingston,417544,3990.60,-23059.68
null,null,New Hope,Cedar Grove,137241,39.73,-6449.28
null,null,Newport,Edgewood,284016,834.57,-8193.06
null,null,Newport,Glendale,235177,13144.15,-22531.59
null,null,Newtown,Hilltop,308580,1041.15,-8250.06
null,null,Oak Hill,Stringtown,25061,0.00,2322.21
null,null,Oakland,Edgewood,164022,0.00,-10113.69
null,null,Oakwood,New Hope,98628,444.69,-657.28
null,null,Oakwood,Sunnyside,204597,864.54,-5738.90
null,null,Pine Grove,Forest,38281,769.24,-7702.93
null,null,Red Hill,Union Hill,355802,2111.05,-789.50
null,null,Riverdale,Brownsville,52554,857.73,-3676.44
null,null,Riverdale,Walnut Grove,73231,2211.53,-14454.49
null,null,Shiloh,Springfield,373019,890.46,-1140.59
null,null,Spring Hill,Greenfield,428199,0.00,-14451.63
null,null,Summit,Clifford,150758,6455.25,-8464.48
null,null,Summit,Lakeside,238301,3402.89,-12385.79
null,null,Summit,Riverview,411242,2735.73,-8214.58
null,null,Sunnyside,Lakeside,38359,10286.92,-12329.88
null,null,Union,Lakeside,412761,188.57,-2507.86
null,null,Union,Oak Hill,352012,318.73,-9022.66
