c_customer_id,c_salutation,c_first_name,c_last_name,ca_street_number,ca_street_name,ca_street_type,ca_suite_number,ca_city,ca_county,ca_state,ca_zip,ca_country,ca_gmt_offset,ca_location_type,ctr_total_return
AAAAAAAAAAIIBAAA,Dr.       ,Monique             ,Rivera                        ,630       ,11th ,Street         ,Suite 200 ,Stringtown,Roberts County,TX,70162     ,United States,-6.00,condo               ,2780.43
AAAAAAAAABMPAAAA,Sir       ,Zachary             ,Spencer                       ,29        ,Adams Park,Wy             ,Suite 480 ,Valley View,Wheeler County,TX,75124     ,United States,-6.00,apartment           ,3058.12
AAAAAAAAACHCBAAA,Sir       ,Nigel               ,Johnson                       ,57        ,Davis ,ST             ,Suite L   ,White Oak,Scurry County,TX,76668     ,United States,-6.00,condo               ,13698.03
AAAAAAAAACMPBAAA,Sir       ,Ramon               ,Shaw                          ,293       ,5th River,Wy             ,Suite 480 ,Hidden Valley,Crane County,TX,75521     ,United States,-6.00,apartment           ,3157.92
AAAAAAAAACNBCAAA,Dr.       ,Millard             ,Olive                         ,54        ,Maple ,Dr.            ,Suite E   ,Springfield,Milam County,TX,79303     ,United States,-6.00,single family       ,4748.40
AAAAAAAAAEGBAAAA,Mr.       ,Florentino          ,Gough                         ,597       ,Sunset Maple,Cir.           ,Suite M   ,Harmony,Shackelford County,TX,75804     ,United States,-6.00,condo               ,2503.31
AAAAAAAAAFDBAAAA,Dr.       ,Raymond             ,Settles                       ,53        ,First ,Dr.            ,Suite 440 ,Smith,Gaines County,TX,77317     ,United States,-6.00,condo               ,4659.00
AAAAAAAAAFMCBAAA,Dr.       ,Kimberlee           ,Wimberly                      ,448       ,5th Lakeview,Boulevard      ,Suite M   ,Bethel,Bowie County,TX,75281     ,United States,-6.00,condo               ,1847.16
AAAAAAAAAGGNAAAA,Mr.       ,Louis               ,Hahn                          ,372       ,7th Johnson,Circle         ,Suite M   ,Bridgeport,Gray County,TX,75817     ,United States,-6.00,single family       ,2957.62
AAAAAAAAAHBIAAAA,Dr.       ,Bryan               ,Burns                         ,417       ,Ridge 9th,Court          ,Suite 20  ,Pine Grove,Palo Pinto County,TX,74593     ,United States,-6.00,apartment           ,3169.82
AAAAAAAAAHFNBAAA,Mrs.      ,Shana               ,Adams                         ,403       ,Central ,Circle         ,Suite 70  ,Macedonia,DeWitt County,TX,71087     ,United States,-6.00,apartment           ,7649.82
AAAAAAAAAHIKBAAA,Mr.       ,Frank               ,Crawford                      ,673       ,Davis Dogwood,Drive          ,Suite Y   ,Newtown,Lipscomb County,TX,71749     ,United States,-6.00,apartment           ,2931.93
AAAAAAAAAIEHAAAA,Mr.       ,Terry               ,Grayson                       ,889       ,Ridge ,Wy             ,Suite V   ,Friendship,San Jacinto County,TX,74536     ,United States,-6.00,apartment           ,2027.27
AAAAAAAAAIHGBAAA,Miss      ,Andrew              ,Rosser                        ,558       ,Lincoln Lincoln,Ln             ,Suite L   ,Spring Hill,Presidio County,TX,76787     ,United States,-6.00,single family       ,2459.91
